id	Year	Postcode	Individuals	Taxable_income	Net_tax	Gross_interest	Net_rent	Net_capital_gain	Total_income	Total_deductions	Salary	Medicare_levy	Medicare_levy_surcharge	Total_work_related_expenses	Gifts	HELP_debt
200602122	2006	2122	14135	707004634	178372438	23156775	-11935088	19380268	743314698	35973148	572767415	9804754	350780	18062389	3136927	1577704
200602125	2006	2125	8845	574098643	169212610	15518212	-17330455	21921765	611012245	36617819	444237398	8142042	173216	13807886	2166672	789445
200602126	2006	2126	9580	538030385	143492805	12597474	-18412740	13149650	567245250	28833011	457710647	7522528	180265	14210019	1971315	902120
200602127	2006	2127	2880	159482548	41967628	2494688	-5511257	2861200	168503929	8949017	148237347	2202160	99113	6248875	417265	467346
200602128	2006	2128	575	24521901	5754165	192344	-746033	524315	26091215	1536909	23109692	332505	23523	1198394	71319	82043
200602130	2006	2130	3675	192027641	49453249	3318902	-2111018	2464795	201085150	9033495	168186213	2732336	153782	5717931	720645	613923
200602131	2006	2131	10240	450824615	104583179	11246102	-6482507	6581225	475591683	24723202	396209335	6139025	361299	15568391	1777535	1264223
200602132	2006	2132	4560	225477238	56758636	5585192	-3101060	4850706	236907169	11416975	188564733	3146180	159565	6841796	889393	431373
200602133	2006	2133	4550	202373516	47146833	3494547	-4012212	3417344	212824312	10284580	177700989	2810362	145321	6718765	678616	437778
200602134	2006	2134	5285	237843997	58152876	8587133	-1872409	3817817	250993120	13204172	189602701	3183991	180820	7406953	949296	524727
200602135	2006	2135	10640	580782837	160380906	22757170	-10161866	16031031	624316676	43192264	397165542	7917354	260750	16592668	2986251	1280639
200602136	2006	2136	3560	159568133	37733180	4513873	-2899717	3267798	167377643	7714870	135564193	2207822	94336	5104200	561717	316558
200602137	2006	2137	10700	616137025	168765208	16733942	-12729703	24962112	652315423	35790589	490536764	8704228	287400	18210936	2078776	986109
200602138	2006	2138	4750	250417398	64156484	5642270	-6861195	4408480	264098114	13624678	217213846	3485072	146582	7767742	847229	590231
200602140	2006	2140	4395	190987682	44838479	3470030	-2231671	2284756	201291070	10249910	167112724	2586325	145742	6680072	609735	570056
200602141	2006	2141	9425	362113997	76249891	5875465	-10295261	4894380	379473703	16969780	331620480	4824750	243858	12178002	1326751	918738
200602142	2006	2142	6875	257763158	53323965	3256573	-5011642	2011584	271518737	13687284	241425696	3411429	200683	10611182	1050559	663902
200602143	2006	2143	2830	112418220	23493137	1746037	-2195921	1175854	118064827	5632023	101093672	1507667	68616	3836559	451143	241960
200602144	2006	2144	9905	341364227	66646930	4449564	-7906044	5406627	358266959	16838547	311544813	4287675	205934	13224650	1458704	762028
